,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct,year
3906,60525529,03/08/2024 09:50:07 AM,03/08/2024 02:20:12 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11232.0,791 3 AVENUE,3 AVENUE,27 STREET,28 STREET,27 STREET,28 STREET,ADDRESS,BROOKLYN,3 AVENUE,,Closed,,The Department of Sanitation removed the items.,03/08/2024 10:51:32 AM,07 BROOKLYN,3006600012.0,BROOKLYN,983885.0,179888.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.660427708211685,-74.00131557409425,"(40.660427708211685, -74.00131557409425)",13515.0,9.0,2.0,7.0,45.0,45.0,2024
3922,60529211,03/08/2024 06:26:38 AM,03/09/2024 02:41:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11355.0,PARSONS BOULEVARD,PARSONS BOULEVARD,PARSONS BOULEVARD,SANFORD AVENUE,PARSONS BOULEVARD,SANFORD AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,03/08/2024 11:00:20 AM,07 QUEENS,,QUEENS,1033940.0,215805.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75887171986589,-73.82063688497576,"(40.758871719865894, -73.82063688497576)",14190.0,22.0,3.0,3.0,67.0,67.0,2024
3925,60521882,03/07/2024 08:51:13 PM,03/08/2024 02:20:09 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11232.0,791 3 AVENUE,3 AVENUE,27 STREET,28 STREET,27 STREET,28 STREET,ADDRESS,BROOKLYN,3 AVENUE,,Closed,,The Department of Sanitation removed the items.,03/08/2024 10:51:29 AM,07 BROOKLYN,3006600012.0,BROOKLYN,983885.0,179888.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.660427708211685,-74.00131557409425,"(40.660427708211685, -74.00131557409425)",13515.0,9.0,2.0,7.0,45.0,45.0,2024
3968,60507403,03/06/2024 07:36:56 AM,03/06/2024 01:15:26 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11368.0,43-18 97 PLACE,97 PLACE,43 AVENUE,44 AVENUE,43 AVENUE,44 AVENUE,ADDRESS,CORONA,97 PLACE,,Closed,,The Department of Sanitation cleaned the location.,03/06/2024 10:33:55 AM,04 QUEENS,4016130017.0,QUEENS,1021277.0,211091.0,PHONE,Unspecified,QUEENS,,,,,,,,40.74599509823053,-73.86637165702145,"(40.74599509823053, -73.86637165702145)",14510.0,66.0,3.0,21.0,68.0,68.0,2024
3980,60498116,03/05/2024 07:27:04 PM,03/06/2024 11:47:11 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11356.0,130 STREET,130 STREET,20 AVENUE,JOE FEMENIA WAY,20 AVENUE,JOE FEMENIA WAY,BLOCKFACE,,,,Closed,,The Department of Sanitation cleaned the location.,03/06/2024 12:44:05 AM,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,,,,,,,,2024
3981,60497008,03/05/2024 05:34:40 PM,03/07/2024 01:47:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11203.0,CHURCH AVENUE,CHURCH AVENUE,CHURCH AVENUE,EAST   39 STREET,CHURCH AVENUE,EAST   39 STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,03/05/2024 09:23:45 PM,17 BROOKLYN,,BROOKLYN,1000633.0,176542.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65122852395256,-73.94095868439308,"(40.651228523952554, -73.94095868439308)",16866.0,61.0,2.0,26.0,40.0,40.0,2024
3986,60501624,03/05/2024 01:08:51 PM,03/06/2024 11:08:49 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11375.0,METROPOLITAN AVENUE,METROPOLITAN AVENUE,METROPOLITAN AVENUE,SELFRIDGE STREET,METROPOLITAN AVENUE,SELFRIDGE STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,03/06/2024 05:17:59 AM,06 QUEENS,,QUEENS,1024047.0,198469.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71133880438172,-73.85644955007041,"(40.71133880438172, -73.85644955007041)",14786.0,40.0,3.0,28.0,70.0,70.0,2024
3987,60498098,03/05/2024 12:25:38 PM,03/06/2024 11:08:48 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11375.0,METROPOLITAN AVENUE,METROPOLITAN AVENUE,METROPOLITAN AVENUE,SELFRIDGE STREET,METROPOLITAN AVENUE,SELFRIDGE STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,03/06/2024 05:17:57 AM,06 QUEENS,,QUEENS,1024047.0,198469.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71133880438172,-73.85644955007041,"(40.71133880438172, -73.85644955007041)",14786.0,40.0,3.0,28.0,70.0,70.0,2024
3989,60502683,03/05/2024 11:27:02 AM,03/06/2024 11:08:47 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11375.0,METROPOLITAN AVENUE,METROPOLITAN AVENUE,METROPOLITAN AVENUE,SELFRIDGE STREET,METROPOLITAN AVENUE,SELFRIDGE STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,03/06/2024 05:17:52 AM,06 QUEENS,,QUEENS,1024047.0,198469.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71133880438172,-73.85644955007041,"(40.71133880438172, -73.85644955007041)",14786.0,40.0,3.0,28.0,70.0,70.0,2024
4003,60484884,03/04/2024 03:42:48 PM,03/05/2024 01:57:25 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11203.0,287 EAST   43 STREET,EAST   43 STREET,SNYDER AVENUE,DEAD END,SNYDER AVENUE,DEAD END,ADDRESS,BROOKLYN,EAST   43 STREET,,Closed,,The Department of Sanitation removed the items.,03/04/2024 08:52:06 PM,17 BROOKLYN,,BROOKLYN,1001772.0,175673.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64884112784008,-73.93685619695188,"(40.64884112784008, -73.93685619695188)",16866.0,61.0,2.0,26.0,40.0,40.0,2024
4014,60493538,03/04/2024 11:35:15 AM,03/06/2024 03:56:08 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11420.0,133-06 131 STREET,131 STREET,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,131 STREET,,Closed,,The Department of Sanitation removed the items.,03/05/2024 04:26:42 AM,10 QUEENS,4117900028.0,QUEENS,1037585.0,183140.0,PHONE,Unspecified,QUEENS,,,,,,,,40.66919308045116,-73.80773857069734,"(40.66919308045116, -73.80773857069734)",24016.0,62.0,3.0,46.0,64.0,64.0,2024
4076,60458153,02/29/2024 08:11:54 PM,03/04/2024 03:36:37 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11435.0,144-30 106 AVENUE,106 AVENUE,PINEGROVE STREET,INWOOD STREET,PINEGROVE STREET,INWOOD STREET,ADDRESS,JAMAICA,106 AVENUE,,Closed,,The Department of Sanitation removed the items.,03/01/2024 12:45:25 PM,12 QUEENS,4100450013.0,QUEENS,1037795.0,191339.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.6916961523378,-73.8069164203327,"(40.6916961523378, -73.8069164203327)",24670.0,41.0,3.0,46.0,61.0,61.0,2024
4078,60455617,02/29/2024 07:03:00 PM,03/01/2024 01:58:51 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10305.0,8 MACFARLAND AVENUE,MACFARLAND AVENUE,HASTINGS STREET,WALLACE AVENUE,HASTINGS STREET,WALLACE AVENUE,ADDRESS,STATEN ISLAND,MACFARLAND AVENUE,,Closed,,The Department of Sanitation removed the items.,03/01/2024 01:32:43 PM,02 STATEN ISLAND,5031000048.0,STATEN ISLAND,965559.0,157347.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.59853771849492,-74.06730576845584,"(40.59853771849492, -74.06730576845584)",10692.0,30.0,1.0,14.0,76.0,76.0,2024
4088,60455616,02/29/2024 08:28:13 AM,03/02/2024 02:13:46 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10309.0,101 TYRELLAN AVENUE,TYRELLAN AVENUE,WEST SHORE EXPRESSWAY NB ET,VETERANS ROAD WEST,WEST SHORE EXPRESSWAY NB ET,VETERANS ROAD WEST,ADDRESS,STATEN ISLAND,TYRELLAN AVENUE,,Closed,,The Department of Sanitation cleaned the location.,03/01/2024 01:49:10 PM,03 STATEN ISLAND,5074690170.0,STATEN ISLAND,920246.0,131492.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.52735958584936,-74.2302314266761,"(40.527359585849354, -74.2302314266761)",10696.0,15.0,1.0,9.0,77.0,77.0,2024
4108,60445986,02/28/2024 09:53:37 AM,03/04/2024 02:01:29 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11363.0,3 OAK LANE,OAK LANE,RIDGE ROAD,DOUGLAS ROAD,RIDGE ROAD,DOUGLAS ROAD,ADDRESS,LITTLE NECK,OAK LANE,,Closed,,The Department of Sanitation removed the items.,02/29/2024 09:31:21 AM,11 QUEENS,4080540045.0,QUEENS,1054388.0,221436.0,PHONE,Unspecified,QUEENS,,,,,,,,40.774188727140434,-73.74676851570575,"(40.774188727140434, -73.74676851570575)",14505.0,26.0,3.0,20.0,69.0,69.0,2024
4111,60444815,02/28/2024 08:31:13 AM,03/04/2024 02:01:29 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11363.0,3 OAK LANE,OAK LANE,RIDGE ROAD,DOUGLAS ROAD,RIDGE ROAD,DOUGLAS ROAD,ADDRESS,LITTLE NECK,OAK LANE,,Closed,,The Department of Sanitation removed the items.,02/29/2024 09:31:21 AM,11 QUEENS,4080540045.0,QUEENS,1054388.0,221436.0,PHONE,Unspecified,QUEENS,,,,,,,,40.774188727140434,-73.74676851570575,"(40.774188727140434, -73.74676851570575)",14505.0,26.0,3.0,20.0,69.0,69.0,2024
4113,60441351,02/28/2024 07:31:55 AM,02/29/2024 09:48:40 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10303.0,345 SIMONSON AVENUE,SIMONSON AVENUE,NETHERLAND AVENUE,WENLOCK STREET,NETHERLAND AVENUE,WENLOCK STREET,ADDRESS,STATEN ISLAND,SIMONSON AVENUE,,Closed,,The Department of Sanitation cleaned the location.,02/28/2024 11:07:32 PM,01 STATEN ISLAND,5011840034.0,STATEN ISLAND,941841.0,168078.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6279102975184,-74.15278089528483,"(40.6279102975184, -74.15278089528483)",10371.0,4.0,1.0,13.0,75.0,75.0,2024
4133,60437769,02/27/2024 10:26:55 AM,02/28/2024 01:54:12 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11356.0,20 AVENUE,20 AVENUE,20 AVENUE,130 STREET,20 AVENUE,130 STREET,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,02/28/2024 12:52:27 AM,07 QUEENS,,QUEENS,1028921.0,224104.0,PHONE,Unspecified,QUEENS,,,,,,,,40.78167705712316,-73.83869847365918,"(40.78167705712316, -73.83869847365918)",14191.0,22.0,3.0,20.0,67.0,67.0,2024
4153,60424270,02/26/2024 08:44:33 PM,02/27/2024 01:45:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11418.0,86-45 130 STREET,130 STREET,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,ADDRESS,RICHMOND HILL,130 STREET,,Closed,,The Department of Sanitation removed the items.,02/27/2024 06:52:11 AM,09 QUEENS,4092820039.0,QUEENS,1033525.0,195380.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70281253784352,-73.82228445787139,"(40.70281253784352, -73.82228445787139)",24014.0,46.0,3.0,28.0,60.0,60.0,2024
4155,60424269,02/26/2024 06:10:23 PM,02/27/2024 01:45:54 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11418.0,86-45 130 STREET,130 STREET,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,ADDRESS,RICHMOND HILL,130 STREET,,Closed,,The Department of Sanitation removed the items.,02/27/2024 06:52:07 AM,09 QUEENS,4092820039.0,QUEENS,1033525.0,195380.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70281253784352,-73.82228445787139,"(40.70281253784352, -73.82228445787139)",24014.0,46.0,3.0,28.0,60.0,60.0,2024
4169,60420531,02/26/2024 09:32:17 AM,02/28/2024 02:57:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11426.0,85-26 241 STREET,241 STREET,85 ROAD,86 AVENUE,85 ROAD,86 AVENUE,ADDRESS,BELLEROSE,241 STREET,,Closed,,The Department of Sanitation cleaned the location.,02/27/2024 06:46:17 AM,13 QUEENS,4079580052.0,QUEENS,1060376.0,206293.0,PHONE,Unspecified,QUEENS,,,,,,,,40.73257569766345,-73.7253205679762,"(40.73257569766345, -73.7253205679762)",24335.0,63.0,3.0,16.0,63.0,63.0,2024
4187,60414879,02/25/2024 05:24:32 PM,02/26/2024 01:22:33 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11213.0,1721 DEAN STREET,DEAN STREET,SCHENECTADY AVENUE,UTICA AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,DEAN STREET,,Closed,,The Department of Sanitation removed the items.,02/26/2024 07:03:21 AM,08 BROOKLYN,3013420058.0,BROOKLYN,1003358.0,185519.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.675862933218944,-73.93111284843756,"(40.675862933218944, -73.93111284843756)",17615.0,16.0,2.0,49.0,49.0,49.0,2024
4196,60416645,02/25/2024 11:23:11 AM,02/27/2024 11:49:11 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11434.0,179 STREET,179 STREET,179 STREET,LINDEN BOULEVARD,179 STREET,LINDEN BOULEVARD,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,02/27/2024 05:47:10 AM,12 QUEENS,,QUEENS,1048549.0,191642.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69245621845494,-73.76813470802126,"(40.69245621845494, -73.76813470802126)",24669.0,41.0,3.0,6.0,71.0,71.0,2024
4199,60411319,02/25/2024 01:48:34 AM,02/26/2024 01:22:25 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11213.0,1717 DEAN STREET,DEAN STREET,SCHENECTADY AVENUE,UTICA AVENUE,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,DEAN STREET,,Closed,,The Department of Sanitation removed the items.,02/26/2024 07:04:31 AM,08 BROOKLYN,3013420060.0,BROOKLYN,1003331.0,185521.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67586848100508,-73.93121018170808,"(40.67586848100508, -73.93121018170808)",17615.0,16.0,2.0,49.0,49.0,49.0,2024
4204,60408561,02/24/2024 03:29:13 PM,02/26/2024 01:32:18 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11374.0,64-11 BOELSEN CRESCENT,BOELSEN CRESCENT,64 ROAD,65 DRIVE,64 ROAD,65 DRIVE,ADDRESS,REGO PARK,BOELSEN CRESCENT,,Closed,,The Department of Sanitation removed the items.,02/24/2024 09:14:29 PM,06 QUEENS,4031270026.0,QUEENS,1022553.0,202626.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72275535219866,-73.86181484520843,"(40.72275535219866, -73.86181484520843)",14785.0,40.0,3.0,28.0,70.0,70.0,2024
4208,60407611,02/24/2024 11:09:06 AM,02/26/2024 01:40:14 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11235.0,75 WEST END AVENUE,WEST END AVENUE,OCEAN COURT,HAMPTON AVENUE,OCEAN COURT,HAMPTON AVENUE,ADDRESS,BROOKLYN,WEST END AVENUE,,Closed,,The Department of Sanitation cleaned the location.,02/24/2024 09:41:02 PM,15 BROOKLYN,3087260057.0,BROOKLYN,997179.0,150564.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.579930020165655,-73.95345600588928,"(40.579930020165655, -73.95345600588928)",13826.0,32.0,2.0,15.0,36.0,36.0,2024
4270,60381428,02/21/2024 07:54:23 PM,02/22/2024 01:10:00 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10306.0,1904 RICHMOND ROAD,RICHMOND ROAD,ADAMS AVENUE,BARTON AVENUE,ADAMS AVENUE,BARTON AVENUE,ADDRESS,STATEN ISLAND,RICHMOND ROAD,,Closed,,The Department of Sanitation cleaned the location.,02/22/2024 12:54:54 PM,02 STATEN ISLAND,5035620041.0,STATEN ISLAND,954520.0,152217.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.58442675093827,-74.1070342946407,"(40.58442675093827, -74.1070342946407)",10693.0,30.0,1.0,14.0,76.0,76.0,2024
4295,60375360,02/20/2024 11:43:52 PM,02/22/2024 02:51:53 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11362.0,61 AVENUE,61 AVENUE,61 AVENUE,244 STREET,61 AVENUE,244 STREET,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,02/21/2024 04:40:50 AM,11 QUEENS,,QUEENS,1057180.0,214726.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75574899915731,-73.73676093186535,"(40.75574899915731, -73.73676093186535)",14197.0,26.0,3.0,16.0,69.0,69.0,2024
4306,60376552,02/20/2024 03:23:41 PM,02/21/2024 01:14:18 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11435.0,105-36 REMINGTON STREET,REMINGTON STREET,105 AVENUE,TUSKEGEE AIRMEN WAY,105 AVENUE,TUSKEGEE AIRMEN WAY,ADDRESS,JAMAICA,REMINGTON STREET,,Closed,,The Department of Sanitation removed the items.,02/21/2024 07:29:55 AM,12 QUEENS,4100400024.0,QUEENS,1037675.0,190923.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69055505621522,-73.80735243870485,"(40.69055505621522, -73.80735243870485)",24670.0,41.0,3.0,46.0,61.0,61.0,2024
4315,60371849,02/20/2024 08:13:48 AM,02/21/2024 03:43:16 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11234.0,1790 EAST   51 STREET,EAST   51 STREET,AVENUE O,FILLMORE AVENUE,AVENUE O,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST   51 STREET,,Closed,,The Department of Sanitation removed the items.,02/21/2024 05:39:41 AM,18 BROOKLYN,3084900042.0,BROOKLYN,1004906.0,163839.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61635256144057,-73.92559846881643,"(40.61635256144057, -73.92559846881643)",13825.0,5.0,2.0,8.0,38.0,38.0,2024
4317,60367138,02/19/2024 07:48:58 PM,02/22/2024 02:38:01 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11418.0,129 STREET,129 STREET,129 STREET,JAMAICA AVENUE,129 STREET,JAMAICA AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation cleaned the location.,02/20/2024 06:10:29 AM,09 QUEENS,,QUEENS,1033216.0,194913.0,PHONE,Unspecified,QUEENS,,,,,,,,40.70153245020962,-73.82340229184067,"(40.70153245020962, -73.82340229184067)",24014.0,46.0,3.0,28.0,60.0,60.0,2024
4357,60350567,02/17/2024 06:03:31 PM,02/21/2024 11:11:31 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11432.0,177-30 WEXFORD TERRACE,WEXFORD TERRACE,DALNY ROAD,EDGERTON BOULEVARD,DALNY ROAD,EDGERTON BOULEVARD,ADDRESS,JAMAICA,WEXFORD TERRACE,,Closed,,The Department of Sanitation removed the items.,02/18/2024 06:59:06 PM,08 QUEENS,4098350033.0,QUEENS,1043581.0,199151.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71310129919592,-73.78598332501407,"(40.71310129919592, -73.78598332501407)",24340.0,25.0,3.0,24.0,65.0,65.0,2024
4369,60343218,02/16/2024 07:27:55 PM,02/17/2024 11:44:46 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11375.0,72 AVENUE,72 AVENUE,72 AVENUE,UNION TURNPIKE,72 AVENUE,UNION TURNPIKE,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,02/17/2024 10:28:05 AM,06 QUEENS,,QUEENS,1026231.0,197416.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70843848029657,-73.84857829646248,"(40.70843848029657, -73.84857829646248)",14786.0,38.0,3.0,34.0,60.0,60.0,2024
4385,60343219,02/16/2024 11:26:52 AM,02/21/2024 02:56:06 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10309.0,84 MARVIN ROAD,MARVIN ROAD,SHARON LANE,BLOOMINGDALE ROAD,SHARON LANE,BLOOMINGDALE ROAD,ADDRESS,STATEN ISLAND,MARVIN ROAD,,Closed,,The Department of Sanitation cleaned the location.,02/16/2024 11:12:36 PM,03 STATEN ISLAND,5070120009.0,STATEN ISLAND,923666.0,134432.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.53545332691522,-74.21795556957929,"(40.535453326915224, -74.21795556957929)",10696.0,15.0,1.0,9.0,77.0,77.0,2024
4390,60339732,02/16/2024 08:05:15 AM,02/17/2024 07:53:51 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11230.0,1206 FOSTER AVENUE,FOSTER AVENUE,WESTMINSTER ROAD,ARGYLE ROAD,WESTMINSTER ROAD,ARGYLE ROAD,ADDRESS,BROOKLYN,FOSTER AVENUE,,Closed,,The Department of Sanitation removed the items.,02/16/2024 04:15:51 PM,14 BROOKLYN,3052330051.0,BROOKLYN,993825.0,169861.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63290059260867,-73.96550294139125,"(40.63290059260867, -73.96550294139125)",13513.0,60.0,2.0,26.0,43.0,43.0,2024
4395,60328339,02/15/2024 09:41:32 PM,02/18/2024 06:59:45 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10469.0,2214 SEYMOUR AVENUE,SEYMOUR AVENUE,PELHAM PARKWAY NORTH,ASTOR AVENUE,PELHAM PARKWAY NORTH,ASTOR AVENUE,ADDRESS,BRONX,SEYMOUR AVENUE,,Closed,,The Department of Sanitation cleaned the location.,02/16/2024 05:10:46 AM,11 BRONX,2043840011.0,BRONX,1026728.0,252243.0,PHONE,Unspecified,BRONX,,,,,,,,40.85892136227806,-73.84643899270223,"(40.85892136227806, -73.84643899270223)",11607.0,59.0,5.0,12.0,32.0,32.0,2024
4403,60332938,02/15/2024 01:21:16 PM,02/15/2024 10:31:55 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11374.0,64-50 ALDERTON STREET,ALDERTON STREET,BOELSEN CRESCENT,CROMWELL CRESCENT,BOELSEN CRESCENT,CROMWELL CRESCENT,ADDRESS,REGO PARK,ALDERTON STREET,,Closed,,The Department of Sanitation removed the items.,02/15/2024 04:50:10 PM,06 QUEENS,4031300049.0,QUEENS,1023183.0,202406.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72214875591642,-73.85954328021715,"(40.72214875591642, -73.85954328021715)",14785.0,40.0,3.0,28.0,70.0,70.0,2024
4408,60334063,02/15/2024 09:59:36 AM,02/15/2024 08:19:33 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10314.0,FOREST HILL ROAD,FOREST HILL ROAD,NORWICH STREET,PILCHER STREET,NORWICH STREET,PILCHER STREET,BLOCKFACE,,,,Closed,,The Department of Sanitation removed the items.,02/15/2024 12:06:08 PM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,PHONE,Unspecified,STATEN ISLAND,,,,,,,,,,,,,,,,,2024
4536,60291323,02/10/2024 11:07:53 AM,02/14/2024 04:43:15 AM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,11375.0,CONTINENTAL AVENUE,CONTINENTAL AVENUE,CONTINENTAL AVENUE,GROTON STREET,CONTINENTAL AVENUE,GROTON STREET,INTERSECTION,,,,Closed,,The Department of Sanitation removed the items.,02/10/2024 01:23:26 PM,06 QUEENS,,QUEENS,1026526.0,200125.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71587262466277,-73.84749724899673,"(40.71587262466277, -73.84749724899673)",14786.0,40.0,3.0,28.0,70.0,70.0,2024
4544,60290260,02/10/2024 08:30:57 AM,02/10/2024 02:19:08 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10463.0,3335 JOHNSON AVENUE,JOHNSON AVENUE,CAMBRIDGE AVENUE,WEST  235 STREET,CAMBRIDGE AVENUE,WEST  235 STREET,ADDRESS,BRONX,JOHNSON AVENUE,,Closed,,The Department of Sanitation removed the items.,02/10/2024 10:13:47 AM,08 BRONX,,BRONX,1009074.0,261713.0,ONLINE,Unspecified,BRONX,,,,,,,,40.88498088704365,-73.91022431836014,"(40.88498088704365, -73.91022431836014)",11272.0,48.0,5.0,40.0,33.0,33.0,2024
4574,60282766,02/09/2024 09:19:34 AM,02/10/2024 02:06:21 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Sidewalk,10301.0,850 HOWARD AVENUE,HOWARD AVENUE,MARTHA STREET,CLOVE ROAD,MARTHA STREET,CLOVE ROAD,ADDRESS,STATEN ISLAND,HOWARD AVENUE,,Closed,,The Department of Sanitation removed the items.,02/09/2024 08:11:10 PM,01 STATEN ISLAND,5006107502.0,STATEN ISLAND,956868.0,162496.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61264807289879,-74.09862266934978,"(40.61264807289879, -74.09862266934978)",10691.0,4.0,1.0,13.0,74.0,74.0,2024
4593,60272151,02/08/2024 06:15:41 PM,02/10/2024 03:54:19 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11434.0,119-54 164 STREET,164 STREET,119 AVENUE,120 AVENUE,119 AVENUE,120 AVENUE,ADDRESS,JAMAICA,164 STREET,,Closed,,The Department of Sanitation cleaned the location.,02/09/2024 12:42:53 PM,12 QUEENS,4123580056.0,QUEENS,1045090.0,187813.0,PHONE,Unspecified,QUEENS,,,,,,,,40.68197097874707,-73.7806425513012,"(40.68197097874707, -73.7806425513012)",24669.0,41.0,3.0,6.0,71.0,71.0,2024
4600,60274574,02/08/2024 03:45:20 PM,02/10/2024 03:54:53 PM,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11436.0,116-23 142 STREET,142 STREET,116 AVENUE,116 ROAD,116 AVENUE,116 ROAD,ADDRESS,JAMAICA,142 STREET,,Closed,,The Department of Sanitation removed the items.,02/09/2024 01:39:17 PM,12 QUEENS,4120000045.0,QUEENS,1039749.0,187046.0,PHONE,Unspecified,QUEENS,,,,,,,,40.67990084259857,-73.79990567063794,"(40.67990084259857, -73.79990567063794)",24671.0,41.0,3.0,46.0,71.0,71.0,2024
